Boarding Points,Latitude,Longitude,Demand
Avadi Bs,47.23714569,49.09550981,14
Avadi check post,48.47689229,49.28917712,15
Ponnu super market,49.42139628,46.90870243,15
J.P.Estate,47.80462002,48.85212594,12
Paruthipattu,45.98866278,48.89363294,10
Kaduvetti,45.02869792,46.31548596,9
Seeneerkuppam,47.14066201,49.00739401,11
Seeneer bridge,49.67760235,47.84897062,12
Karayanchavadi,47.00732084,45.09530597,12
Kallarai,46.27400566,46.34417456,9
GRT,49.88607417,45.24772322,8
Beer company signal,47.52619685,49.27359522,10
Nazarath pettai,46.41045349,45.99841351,12
Thirumilashai Signal,46.35414763,45.03422111,10
Sembarambakkam,47.72676089,47.9540277,8
Pappanchatram,48.98702634,49.64073769,9
Spr checkpost,49.58004927,45.08238841,9
Spr Bs,45.18565082,45.12404538,14
High school,49.05024504,47.76807012,9
Thiruvallur Bs,49.77122955,45.10205772,8
Kakkallur Signal,49.88993844,45.73757687,9
Manavalanagar Bridge,48.00410125,46.22728585,11
Manavalanagar Signal,47.10242379,49.13351391,9
Keel Nallathur,45.65149443,45.47586004,10
Mel Nallathur,47.55565142,47.10117469,10
Pollivakkkam,45.99382067,48.59989046,10
Kattukoot road,46.38728178,46.5953826,10
Om Nagar,49.18705157,48.49555884,9
Thodukadu,47.90784316,47.81091517,8
Chrompet RLY Station,46.31052718,48.47269846,11
MIET,48.78480168,45.60150718,11
MEPZ,47.09891452,48.81198883,10
Tambaram,46.61190171,45.85841282,9
Tambaram u birdge,49.91191502,47.23481311,15
Irumbuliyur,45.99341849,46.6781987,12
Erikkarai,45.47643809,45.34926786,12
Perungalathur,46.427285,47.64447288,15
Salamangalam,46.24146974,47.03364426,11
ESI Hospital,45.38292089,46.85906474,10
Mudichur Kulam stop,48.44065333,47.8735975,7
Old perungalathur,45.051791,47.51127848,8
Krishna Nagar,49.16118439,48.29263752,14
Mudichur church,47.9669576,45.4250268,13
Manimangalam,47.66404955,47.69005199,9
Lakshmi Nagar,45.83985646,48.81667156,10
Chengalpet GH,48.57107574,48.75214746,10
Chengalpet new BS,48.99382009,45.09539857,11
Paranur toll,45.86998373,45.69012337,11
Mahendra city,48.93065991,46.07832308,13
SP Koil Bus Stand,47.48976275,45.94975674,10
Kattankolathur BS,45.92865198,49.815134,14
Potheri/SRM,48.5333764,46.35473176,11
Guduvanchery Bus Stand,47.65665493,47.22107883,15
Urappakkam Bus Stand,47.92754516,45.51177765,9
Vandalur bus stand,46.59230599,45.3165187,11
Vandalur over bridge,47.41637629,49.55450371,14
Loiee (padappai),46.47552803,47.3011267,15
Arun Excello,45.97716906,48.43140635,9
Padappai Petrol bunk,47.96464991,46.3386594,7
Jamai Ice cream,47.6731631,47.50455063,15
Seprananchery,49.15678359,46.899599,14
Pookadai chatram,45.24076867,47.3259722,12
Kanchipuram BS,49.88933894,45.24726026,12
Mongilmandapam,48.35400901,46.6546965,9
Housing board,45.22569123,45.61231819,11
Orrikai Depo,49.17402281,48.88278652,14
Periyarnagar,46.22008021,49.40991767,12
Iyyempettai,47.53516267,47.39137374,10
Ekkanampet,49.92517863,47.26414283,9
Walajabad,49.39965965,45.01196809,12
Deveripakkam,49.87988293,46.35222878,10
Varanavasi,46.61195063,47.06340583,9
Panruti,46.69003364,49.08147752,14
Vallam Plant,48.69867032,49.12039765,7
Retteri Signal,45.52749528,49.18379923,14
Padi bridge under,49.28732944,48.26681663,10
Rohini theatre (bus stop),49.38547425,47.82615242,15
